Değişken,Q1,Q3,IQR,Alt Sınır,Üst Sınır,Aykırı Değer Sayısı,Aykırı Değer Oranı (%)
sessions,23.0,112.0,89.0,-110.5,245.5,729,4.86
drives,20.0,93.0,73.0,-89.5,202.5,734,4.89
total_sessions,90.66,254.19,163.53,-154.64,499.49,515,3.43
n_days_after_onboarding,878.0,2623.5,1745.5,-1740.25,5241.75,0,0.0
total_navigations_fav1,9.0,178.0,169.0,-244.5,431.5,713,4.75
total_navigations_fav2,0.0,43.0,43.0,-64.5,107.5,1027,6.85
driven_km_drives,2212.6,5289.86,3077.26,-2403.29,9905.75,463,3.09
duration_minutes_drives,836.0,2464.36,1628.37,-1606.55,4906.91,644,4.29
activity_days,8.0,23.0,15.0,-14.5,45.5,0,0.0
driving_days,5.0,19.0,14.0,-16.0,40.0,0,0.0
