,count,mean,std,min,25%,50%,75%,max
ID,14999.0,7499.0,4329.98,0.0,3749.5,7499.0,11248.5,14998.0
sessions,14999.0,80.63,80.7,0.0,23.0,56.0,112.0,743.0
drives,14999.0,67.28,65.91,0.0,20.0,48.0,93.0,596.0
total_sessions,14999.0,189.96,136.41,0.22,90.66,159.57,254.19,1216.15
n_days_after_onboarding,14999.0,1749.84,1008.51,4.0,878.0,1741.0,2623.5,3500.0
total_navigations_fav1,14999.0,121.61,148.12,0.0,9.0,71.0,178.0,1236.0
total_navigations_fav2,14999.0,29.67,45.39,0.0,0.0,9.0,43.0,415.0
driven_km_drives,14999.0,4039.34,2502.15,60.44,2212.6,3493.86,5289.86,21183.4
duration_minutes_drives,14999.0,1860.98,1446.7,18.28,836.0,1478.25,2464.36,15851.73
activity_days,14999.0,15.54,9.0,0.0,8.0,16.0,23.0,31.0
driving_days,14999.0,12.18,7.82,0.0,5.0,12.0,19.0,30.0
