Özellik,Önem Skoru
device_encoded,0.038777277
total_navigations_fav2,0.043452565
driven_km_drives,0.04392593
km_per_drive,0.04499263
drives_per_session,0.045818843
total_sessions,0.045942612
minutes_per_drive,0.046397258
total_navigations_fav1,0.0465849
duration_minutes_drives,0.046685845
drives,0.050027993
sessions,0.050554946
total_fav_navigations,0.0510585
km_per_driving_day,0.053834066
activity_driving_ratio,0.056594606
n_days_after_onboarding,0.060834613
driving_days,0.07520845
activity_days,0.19930892
